,foursquare_id,foursquare_name,inspection_score,checkinsCount,createdAt,hasMenu,isVerified,photos,price,rating,ratingSignals,tipCount
3634,5204628f498e7966abe3b35e,VOM FASS Oils Vinegars Spirits - Ghirardelli Square,96.0,134,1376019087,False,True,19,,7.8,14.0,8
3635,5205771c11d29e527c11fccd,Juice Shop,96.0,1118,1376089884,False,True,79,2.0,8.4,89.0,22
3636,5209796e498e5527b3828d6b,Emo's Cafe & Deli,90.4,113,1376352622,False,True,5,1.0,,,2
3637,52097ad911d29afa55ef254f,Nizarios pizza,96.3333333333,27,1376352985,False,True,0,1.0,,,0
3638,520d8e7f11d2efe5a9cabdc6,Tamashisoul,86.0,1068,1376620159,False,True,55,2.0,7.9,69.0,23
3639,520ee48311d25ecfe684e7a5,Barrel Head Brewhouse,87.0,4849,1376707715,False,True,252,2.0,7.6,342.0,54
3640,520fbe4b11d28a5355c2bda6,Noodle House,79.5,357,1376763467,False,True,12,2.0,7.1,13.0,1
3641,5216bae311d2db421a424c5c,Red Sauce Meatballs,96.0,89,1377221347,False,True,11,1.0,5.1,14.0,1
3642,52196188498ea316f09ce4ac,Rosy's Roadside,91.0,15,1377395080,False,True,0,1.0,,,0
3643,521c030711d29828a2b0a260,Champa Garden,87.7647058824,1245,1377567495,False,True,61,2.0,7.7,86.0,19
3644,521e6ab311d2a782d5d164b4,Good To Go,98.6666666667,4,1377725107,False,True,2,1.0,,,0
3645,521ec12f11d2224d014b63f4,Palmer's Tavern,93.3333333333,3393,1377747247,False,True,98,2.0,7.9,244.0,46
3646,5221530111d2f18f83a6e5a6,Sticks,81.0,14,1377915649,False,True,0,1.0,,,0
3647,5222564111d22c5f3228d6b9,Bernal Height's Market,86.25,15,1377982017,False,True,0,,,,0
3648,5226e7f42fc6889c73ad297f,Izakaya Kou,91.6,2737,1378281460,True,True,171,3.0,7.9,204.0,36
3649,5227b1b08bfdf21a788fc5a0,Peet's Coffee & Tea,94.7012987013,2393,1378333104,False,True,59,1.0,7.2,41.0,5
3650,52280c207e48e75ee4cde94e,Rico Vending / Monarch Service,100.0,0,1378356256,False,True,0,,,,0
3651,5229375c11d283a864f7f305,inoVino,87.7,799,1378432860,False,True,21,2.0,7.9,59.0,13
3652,522a875e11d254c090e0e8a8,Mangiare,94.5,197,1378518878,False,True,24,1.0,5.8,8.0,1
3653,5230ca828bbd7e5275fbf5de,Alamo Drafthouse Cinema – New Mission,91.0,18159,1378929282,False,True,690,,9.3,944.0,91
3654,523217ee93cd2771b1d89f79,Sabrosa,83.4,2256,1379014638,True,True,65,2.0,7.3,154.0,29
3655,52322bb311d296848ea7b1a3,Ramzi's Cafe,89.7777777778,26,1379019699,False,True,0,1.0,,,2
3656,5233d27311d2cb47b6b3ea86,Ingleside Pizza,98.3333333333,16,1379127923,True,True,1,1.0,,,1
3657,5237fb987e48ecf300656635,Song Tea & Ceramics,100.0,366,1379400600,False,True,35,2.0,9.3,54.0,10
