,business_name,location,inspection_score
95,SF MARRIOTT VIEW LOUNGE PANTRY,"(37.784964, -122.404752)",96.0
96,COW HOLLOW CATERING,"(37.801401, -122.447857)",96.0
97,HAAGEN-DAZS #561,"(37.784317, -122.407563)",82.0666666667
98,EL FARO,"(37.788613, -122.393894)",98.0
99,HOUSE OF HUNAN,"(37.757923, -122.393914)",81.8571428571
100,Cafe Madeleine,"(37.786698, -122.405473)",85.5454545455
101,Buster's,"(37.798444, -122.407444)",78.347826087
102,Caffe Roma Coffee Roasting Co,"(37.799845, -122.409434)",81.2222222222
103,Michelangelo Caffe,"(37.800166, -122.410006)",89.0909090909
104,Orale Orale Inc,"(37.794501, -122.39716)",86.0
105,CHATZ,"(37.762334, -122.398416)",84.7142857143
106,Caffe Ambrosia,"(37.790109, -122.402597)",99.0
107,Calzone's,"(37.798965, -122.408204)",86.2307692308
108,Rose Pistola,"(37.799915, -122.409544)",85.7777777778
109,Bohemian Cigar Store,"(37.800135, -122.409854)",91.6
110,Vieni-Vieni,"(37.798914, -122.408885)",92.6666666667
111,North Beach Restaurant,"(37.799646, -122.408939)",81.6153846154
112,Hawaii West,"(37.798494, -122.409337)",89.5
113,My Canh Restaurant,"(37.797828, -122.407474)",86.6428571429
114,The Stinking Rose,"(37.798306, -122.407327)",90.3
115,L'Osteria Del Forno,"(37.799837, -122.409517)",88.5
116,Yuet Lee Restaurant,"(37.797817, -122.408597)",84.4444444444
117,Garden of Eden,"(37.797933, -122.406018)",95.3333333333
118,Sam's Pizza,"(37.797828, -122.407444)",87.0
119,Taqueria Zorro,"(37.798065, -122.406855)",79.5714285714
120,Franchino,"(37.798427, -122.407507)",91.375
121,Caffe Greco,"(37.79886, -122.408204)",87.8461538462
122,Mara's,"(37.799501, -122.409084)",91.2727272727
123,Il Pollaio,"(37.800036, -122.409817)",86.2142857143
124,Ristorante Ideale,"(37.799003, -122.407274)",87.0
125,Mo's Grill,"(37.799058, -122.407217)",75.1111111111
126,Maykadeh Restaurant,"(37.799758, -122.407113)",77.625
127,Columbus Cafe,"(37.799598, -122.408394)",87.25
128,"Silverhat Bar, Inc","(37.799388, -122.410223)",92.2222222222
129,Tommaso,"(37.797398, -122.405322)",90.75
130,The House,"(37.798519, -122.407071)",83.6666666667
131,Dol-Ho Restaurant,"(37.796718, -122.408714)",75.8378378378
132,San Francisco Athletic Club,"(37.800897, -122.409189)",74.0
133,Caffe Trieste,"(37.798744, -122.407408)",86.9230769231
134,Roxanne Cafe,"(37.790003, -122.408688)",81.8947368421
135,COURTYARD BY MARRIOTT-COFFEE SHOP,"(37.785614, -122.396693)",94.8
136,Quickly,"(37.714458, -122.44277)",92.8571428571
137,Viking's Giant Sub,"(37.733449, -122.434241)",88.5
138,Cafe Bakery,"(37.75409, -122.478248)",71.2727272727
139,Donut Time,"(37.753633, -122.48954)",88.9166666667
140,SHERATON PALACE - EMP.  CAFETERIA,"(37.788286, -122.401543)",89.6666666667
141,Daily Health,"(37.758941, -122.48591)",92.0
142,Boudin Sourdough Bakery,"(37.728497, -122.475639)",96.1666666667
143,MELISA'S CHINESE CUISINE,"(37.777292, -122.463496)",86.15
144,Nizario's Pizza,"(37.781278, -122.460661)",89.1578947368
145,Marnee Thai Restaurant,"(37.763343, -122.481809)",88.3333333333
146,EL SALVADOR RESTAURANT,"(37.760579, -122.41932)",94.8
147,Hamburger Haven,"(37.782799, -122.467852)",86.6923076923
148,THAI TIME RESTAURANT,"(37.782534, -122.466615)",85.6666666667
149,LITTLE HENRY'S,"(37.775728, -122.497522)",98.0
150,Gordo Taqueria #1,"(37.782107, -122.483631)",85.1818181818
151,Loi's Vietnamese Restaurant,"(37.763428, -122.481736)",85.4
152,KATIA'S,"(37.77721, -122.462874)",86.875
153,CAJUN PACIFIC,"(37.762304, -122.506543)",94.2857142857
154,DESTINO RESTAURANT,"(37.771437, -122.423892)",99.0
155,SAN FRANCISCO SOUP COMPANY,"(37.794347, -122.394932)",91.0
156,MUFFIN'S MUFFIN,"(37.787755, -122.399372)",94.0
157,TACO LOS ALTOS,"(37.738979, -122.414971)",93.2222222222
158,NEW TSING TAO RESTAURANT,"(37.740654, -122.465389)",92.4
159,BURRITO EXPRESS,"(37.742673, -122.48334)",84.35
160,WON TON HOUSE,"(37.754106, -122.477841)",83.1428571429
161,YOU SEE SUSHI,"(37.762378, -122.462692)",86.8571428571
162,TSING TAO RESTAURANT,"(37.781624, -122.492609)",86.0
163,POMELO,"(37.762378, -122.462692)",78.25
164,J & A RESTAURANT,"(37.709857, -122.449709)",94.4
165,A-1 BAKERY,"(37.724824, -122.460726)",88.5714285714
166,CALIFORNIA TENNIS CLUB,"(37.786463, -122.437657)",93.0
167,EDDIES CAFE,"(37.776898, -122.438098)",100.0
168,EL BURRITO EXPRESS #2,"(37.786407, -122.440057)",87.4
169,SUBWAY SANDWICHES & SALADS,"(37.78332, -122.432647)",96.6666666667
170,Swan Oyster Depot,"(37.790734, -122.420783)",92.5454545455
171,ANDERSEN BAKERY,"(37.785457, -122.430317)",97.0
172,TAN-TAN,"(37.785274, -122.431918)",99.0
173,Golden Coffee,"(37.788322, -122.415218)",89.5
174,BRAZEN HEAD RESTAURANT,"(37.799218, -122.432517)",85.6666666667
175,VIKINGS GIANT SUBMARINE SANDWICHES,"(37.801334, -122.424905)",86.5217391304
176,Kitchen Kura,"(37.763638, -122.474196)",83.0
177,MARINA SUBMARINE,"(37.796893, -122.436847)",89.0666666667
178,BARBARY COAST PASTRY & COFFEE,"(37.784965, -122.408614)",94.8
179,THEM KY RESTAURANT,"(37.784193, -122.417967)",61.5
180,MONG THU COFFEE SHOP,"(37.783041, -122.415719)",82.0
181,BEN WAH RESTAURANT,"(37.788138, -122.440174)",79.0
182,MOZZARELLA DI BUFALA PIZZERIA II,"(37.740052, -122.466544)",83.3333333333
183,Cafe Bellini,"(37.784317, -122.407563)",91.25
184,BAKERY/ICE CREAM/STOREROOM,"(37.788286, -122.401543)",97.0
185,APERTO RESTAURANT,"(37.762568, -122.397192)",88.8
186,MOSHI MOSHI,"(37.763187, -122.388895)",90.25
187,MARIPOSA HUNTERS POINT YACHT CLUB,"(37.77325, -122.387222)",93.7142857143
188,BAY VIEW BOAT CLUB,"(37.772667, -122.387032)",90.8888888889
189,MONTE CRISTO SOCIAL CLUB,"(37.764627, -122.396764)",94.5
190,Piperade,"(37.800674, -122.401484)",87.2
191,Boudin Bakery,"(37.791924, -122.398588)",91.4545454545
192,Ben & Jerry's,"(37.808494, -122.412)",96.2857142857
193,Hunan Restaurant,"(37.798987, -122.402307)",76.8333333333
194,Sushi Rapture,"(37.793997, -122.416267)",87.5
195,Courtyard by Marriott at Fisherman's Wharf,"(37.806964, -122.41862)",94.8
196,TRIPTYCH,"(37.775797, -122.409002)",78.9411764706
197,EDEN PLAZA CAFE,"(37.783954, -122.395699)",73.4444444444
198,B & J QUARTER POUNDER BURGERS,"(37.722374, -122.395841)",88.0
199,LA SANTANECA,"(37.7362294, -122.4241753)",82.5
200,BABY'S EATERY AND PALABOK,"(37.724579, -122.434879)",80.2222222222
201,ANGELINA'S DELI-CAFE & CATERING,"(37.784038, -122.481982)",89.1428571429
202,TAQUERIA EL FAROLITO NO. 2,"(37.721251, -122.437385)",86.3333333333
203,LOS PLANES DE RENDEROS,"(37.723078, -122.435966)",84.2857142857
204,Kam Po Kitchen,"(37.797223, -122.410513)",80.8235294118
205,Molinari Delicatessen,"(37.798556, -122.407707)",83.0
206,Estia Restaurant,"(37.798328, -122.407067)",77.7894736842
207,Cafe Jacqueline,"(37.800428, -122.407517)",92.8
208,Golden Boy Pizza,"(37.799648, -122.408033)",85.75
209,New Hollywood Bakery & Restaurant,"(37.7970487, -122.4065651)",68.625
210,Firenze By Night,"(37.798914, -122.408885)",82.0
211,DELFINA RESTAURANT,"(37.761514, -122.424318)",94.1666666667
212,Pancho's Salsa Bar & Grill,"(37.792093, -122.421024)",89.4285714286
213,"PATPONG THAI CUISINE, INC.","(37.781973, -122.48522)",89.0
214,Delicious Dim Sum,"(37.795974, -122.407574)",71.1363636364
215,House of Nanking,"(37.796463, -122.405224)",82.3333333333
216,Le Petit Cafe,"(37.795227, -122.39914)",96.2857142857
217,Lucky Creation Vegetarian Restaurant LLC,"(37.795078, -122.407433)",81.6
218,Happy Donuts,"(37.791348, -122.399834)",82.9090909091
219,MARCELLO'S PIZZA,"(37.762057, -122.435145)",96.0
220,Sabra Restaurant,"(37.790874, -122.405634)",87.7777777778
221,Working Girls' Cafe',"(37.790477, -122.404033)",95.25
222,Cafe Dolci,"(37.787153, -122.404148)",91.0
223,Town & Country Club,"(37.787927, -122.406607)",88.8571428571
224,"Ritz-Carlton, SF -  P-37 Restaurant and Bar","(37.791757, -122.407377)",92.5714285714
225,Ritz-Carlton SF - Club Lounge,"(37.791757, -122.407377)",94.0
226,Cafe Ethiopia,"(37.758832, -122.421359)",93.5
227,PEKING WOK RESTAURANT,"(37.733891, -122.391183)",92.2727272727
228,TWO JACKS SEAFOOD #2,"(37.718016, -122.387696)",93.2
229,EL CASTILLITO TAQUERIA INC.,"(37.768776, -122.429095)",85.8333333333
230,BUFFALO BURGERS RESTAURANT,"(37.780372, -122.476354)",94.5714285714
231,IRVING PIZZA,"(37.763513, -122.47764)",90.125
232,KENTUCKY FRIED CHICKEN #50,"(37.763528, -122.478362)",92.7272727273
233,SHANGRILA VEGETARIAN REST,"(37.763512, -122.47958)",89.0
234,JAVA BEACH CAFE,"(37.760416, -122.509106)",89.8
235,L'AVENIDA,"(37.764143, -122.463378)",85.125
236,"MING TAI WUN TUN NOODLE, INC.","(37.753614, -122.490219)",80.2631578947
237,VANIDA THAI KITCHEN,"(37.742086, -122.498738)",89.125
238,The Sunset's Best Seafood Restaurant,"(37.742048, -122.499002)",80.0
239,CHICK-N-DELI,"(37.713702, -122.443681)",95.6
240,RAILROAD EXPRESSO CAFE,"(37.731513, -122.45133)",90.7272727273
241,SERRANO'S PIZZA II,"(37.756997, -122.420534)",87.1
242,HEUNG YUEN RESTAURANT,"(37.755282, -122.420493)",78.5
243,BIG MOUTH BURGERS,"(37.752158, -122.420362)",90.5555555556
244,RINCON PERUANO RESTAURANT,"(37.749128, -122.417402)",91.1111111111
245,CHAVITA'S MEXICAN RESTAURANT,"(37.748855, -122.418134)",83.3333333333
246,VALENCIA PIZZA & PASTA,"(37.759944, -122.421356)",96.0
247,PETES BARBEQUE,"(37.758684, -122.418975)",98.0
248,LA SANTANECA DE LA MISSION,"(37.751885, -122.418406)",91.875
249,PHUKET THAI RESTAURANT,"(37.771117, -122.436976)",89.3636363636
250,IL BORGO,"(37.775538, -122.426264)",85.625
251,ALAMO SQUARE,"(37.776944, -122.431444)",82.0
252,LOVE 'N HAIGHT COFFEE & DELI,"(37.771964, -122.431336)",92.5714285714
253,CENTRAL COFFEE TEA & SPICE,"(37.774198, -122.444214)",96.0
254,PORK STORE CAFE,"(37.770063, -122.446247)",85.4
255,CREPE EXPRESS,"(37.770068, -122.446644)",89.3
256,UNIVERSAL CAFE,"(37.760487, -122.410662)",83.8571428571
257,"SANDWICH PLACE, THE","(37.764384, -122.419566)",90.8888888889
258,ARINELL PIZZA,"(37.764744, -122.421803)",87.2727272727
259,STARBUCKS COFFEE #9219,"(37.792037, -122.397852)",92.3333333333
260,Tricolore Caffe' and Pizzeria,"(37.795614, -122.403104)",99.0
261,HOANG DAT COFFEE SHOP,"(37.786068, -122.418644)",87.8823529412
262,STARBUCKS COFFEE,"(37.760938, -122.434692)",98.0
263,SUBWAY 16604,"(37.783713, -122.419357)",89.8
264,STARBUCKS COFFEE #509,"(37.797713, -122.430336)",95.5
265,STARBUCKS COFFEE #531,"(37.800547, -122.438494)",91.5555555556
266,SQUAT & GOBBLE CAFE #3,"(37.764248, -122.433392)",89.5714285714
267,"Peet's Coffee & Tea, Inc","(37.791554, -122.399565)",92.2857142857
268,Starbucks Coffee,"(37.792773, -122.403567)",91.8
269,Geary Drive In,"(37.782778, -122.444744)",90.0
270,MINI CAFE,"(37.775867, -122.419356)",79.4166666667
271,Star Bagels,"(37.790324, -122.420664)",78.3103448276
272,Aux Delices Vietnam,"(37.798274, -122.422264)",80.5263157895
273,UA Twin Stonestown,"(37.730105, -122.478441)",98.8
274,POMELO ON CHURCH,"(37.742325, -122.426476)",91.6
275,SUNFLOWER RESTAURANT,"(37.764678, -122.421905)",81.4166666667
276,Boudin Petit Cafe,"(37.786548, -122.407313)",92.8333333333
277,Sutter Cafe,"(37.789625, -122.405894)",92.9090909091
278,Zona Rosa,"(37.769363, -122.451667)",89.8571428571
279,TULLY'S  COFFEE,"(37.792071, -122.434535)",88.0
280,OKINA SUSHI,"(37.775723, -122.458445)",100.0
281,TEKKA JAPANESE RESTAURANT,"(37.77714, -122.464412)",90.25
