,business_name,location,inspection_score,foursquare_id,foursquare_name
54,Gelato Classico Italian Ice,"(37.800543, -122.408784)",91.1111111111,4b651a7ef964a52043e42ae3,Gelato Classico
55,Just Wonton,"(37.739063, -122.480409)",86.5714285714,4b04b453f964a520385622e3,Just Won Ton
56,MIKI RESTAURANT,"(37.775663, -122.497949)",76.5185185185,4af10e94f964a520a7e021e3,Miki Restaurant
57,Toy Boat Dessert Cafe,"(37.782953, -122.46351)",85.8235294118,473b4138f964a5205a4c1fe3,Toy Boat Dessert Cafe
58,BEANERY INC.,"(37.764148, -122.464391)",96.0,4a64a1cff964a52063c61fe3,Beanery Inc.
59,Ann's Donut Coffee Shop,"(37.725949, -122.433906)",96.3333333333,4b65eb71f964a5205b082be3,Ann's Donut & Coffee Shop
60,Marche Club of S.F.,"(37.727983, -122.432101)",97.5,4be4bf122457a593e2b9aa15,Marche Club
61,VIKINGS GIANT SUBMARINE,"(37.72404, -122.456539)",91.8,4b6cc9aff964a52070542ce3,Viking's Giant Submarines
62,ASA SUSHI,"(37.800023, -122.442266)",77.1428571429,4a96002ef964a520cb2520e3,Asa Sushi
63,LOS HERMANOS,"(37.800767, -122.436924)",94.0,4a6b97a6f964a52046cf1fe3,Los Hermanos
64,ON THE BRIDGE,"(37.785227, -122.431472)",78.25,49e25488f964a5200b621fe3,On the Bridge
65,HAI SUN RESTAURANT,"(37.800133, -122.431064)",75.9583333333,4ac271e9f964a5202a9920e3,Hai Sun
66,Ben & Jerry's,"(37.786548, -122.407313)",95.5,4bb645e72ea195210669ab2f,Ben & Jerry's
67,CORSAGNA,"(37.79826, -122.426748)",99.0,4b707afff964a520181d2de3,Corsagna Deli
68,Inga Donuts,"(37.790347, -122.417227)",93.7142857143,4b56123bf964a520e2fe27e3,Inga Donut
69,PARMA RESTAURANT,"(37.799807, -122.437649)",96.0,4abed7e5f964a5203b9020e3,Ristorante Parma
70,HAI KY MI GIA,"(37.784193, -122.417967)",73.0,4697a079f964a520e8481fe3,Hải Ký Mì Gia
71,PUNJAB KABAB HOUSE,"(37.784303, -122.409647)",79.0526315789,447b26c7f964a520ea331fe3,Punjab Kabab House
72,BISTRO AIX,"(37.800187, -122.437756)",84.8571428571,45058f03f964a52009391fe3,Bistro Aix
73,Bamboo Restaurant,"(37.790134, -122.420634)",87.5333333333,4a66a7ddf964a520cac81fe3,Bamboo Restaurant
74,YUKOL PLACE THAI CUISINE,"(37.799287, -122.440624)",93.6,4a8ad17cf964a5207d0a20e3,Yukol Place
75,SUBWAY,"(37.794134, -122.423234)",78.1818181818,4a444f47f964a52073a71fe3,SUBWAY
